Full-Name,Type,Index-Offset,Index-Group,Subitems
MAIN.m_container.m_stamp.m_pressureValve.AO_SetPressure,INT,0x16c42c,0xf030,0
MAIN.m_container.m_stamp.m_slidingCylinder.AI_FlowPressure,INT,0x16c420,0xf020,0
MAIN.m_container.m_stamp.m_slidingCylinder.AI_PositionTransmitter,INT,0x16c422,0xf020,0
MAIN.m_container.m_stamp.m_slidingCylinder.AI_PressureSensor,INT,0x16c41e,0xf020,0
MAIN.m_container.m_stamp.m_slidingCylinder.DI_BoundaryFlowPressure,BOOL,0x16c41c,0xf020,0
MAIN.m_container.m_stamp.m_slidingCylinder.DI_BoundaryPressure,BOOL,0x16c41b,0xf020,0
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,BOOL,0x16c418,0xf020,0
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,BOOL,0x16c419,0xf020,0
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,BOOL,0x16c41a,0xf030,0
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,BOOL,0x16c424,0xf030,0
MAIN.m_container.m_stamp.m_stampingCylinder.AI_FlowPressure,INT,0x16c40c,0xf020,0
MAIN.m_container.m_stamp.m_stampingCylinder.AI_PositionTransmitter,INT,0x16c40e,0xf020,0
MAIN.m_container.m_stamp.m_stampingCylinder.AI_PressureSensor,INT,0x16c40a,0xf020,0
MAIN.m_container.m_stamp.m_stampingCylinder.DI_BoundaryFlowPressure,BOOL,0x16c408,0xf020,0
MAIN.m_container.m_stamp.m_stampingCylinder.DI_BoundaryPressure,BOOL,0x16c407,0xf020,0
MAIN.m_container.m_stamp.m_stampingCylinder.DI_Extended,BOOL,0x16c404,0xf020,0
MAIN.m_container.m_stamp.m_stampingCylinder.DI_Retracted,BOOL,0x16c405,0xf020,0
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,BOOL,0x16c406,0xf030,0
MAIN.m_customSeqStatus,Resi4MPM.EOperationResult,0x192644,0x4040,0
MAIN.m_didFinishPrimitives,BOOL,0x192642,0x4040,0
MAIN.m_emptyParams,Resi4MPM.ParameterSet,0x192648,0x4040,0
MAIN.m_errorManager,xPPU.ErrorManager,0x73eb0,0x4040,0
MAIN.m_services,Resi4MPM.ServiceContainer,0x745a0,0x4040,0
MAIN.m_startAuto,BOOL,0x73e95,0x4040,0
MAIN.m_startManual,BOOL,0x73e96,0x4040,0
MAIN.m_statesEnum,xPPU.EProcessVariables,0x192640,0x4040,0
MAIN.m_steps,ARRAY [0..2] OF STRING(80),0x290b28,0x4040,0
MAIN.m_stopManual,BOOL,0x73e97,0x4040,0
MAIN.m_strategyState,Resi4MPM.EOperationResult,0x19263c,0x4040,0
MAIN.m_timer_CylinderExtended,Tc2_Standard.TOF,0x290e0c,0x4040,0
MAIN.m_timer_CylinderRampMidAbnormal,Tc2_Standard.TON,0x290dd4,0x4040,0
MAIN.m_timer_CylinderRampMidExtended,Tc2_Standard.TON,0x290db8,0x4040,0
MAIN.m_timer_CylinderRampStartAbnormal,Tc2_Standard.TON,0x290d9c,0x4040,0
MAIN.m_timer_CylinderRampStartExtended,Tc2_Standard.TON,0x290d80,0x4040,0
MAIN.m_timer_InductiveSensorMid,Tc2_Standard.TON,0x290d48,0x4040,0
MAIN.m_timer_InductiveSensorStart,Tc2_Standard.TON,0x290d64,0x4040,0
MAIN.m_timer_OpticalSensorEnd,Tc2_Standard.TON,0x290d2c,0x4040,0
MAIN.m_timer_OpticalSensorMid,Tc2_Standard.TON,0x290d10,0x4040,0
MAIN.m_timer_OpticalSensorStart,Tc2_Standard.TON,0x290cf4,0x4040,0
MAIN.m_timer_PAC_WPAtEnd,Tc2_Standard.TON,0x290df0,0x4040,0
MAIN.m_timer_PresenceSensor,Tc2_Standard.TON,0x290cd8,0x4040,0
MAIN.m_timer_RampMiddle,Tc2_Standard.TON,0x290cbc,0x4040,0
MAIN.m_timer_RampStart,Tc2_Standard.TON,0x290ca0,0x4040,0
MAIN.m_timer_RFC_WPAtEntry,Tc2_Standard.TON,0x290e98,0x4040,0
MAIN.m_timer_SSC_WPAtEnd,Tc2_Standard.TON,0x290e60,0x4040,0
MAIN.m_timer_SSC_WPAtEntry,Tc2_Standard.TON,0x290e7c,0x4040,0
MAIN.m_timer_StackCylinderStuck,Tc2_Standard.TON,0x290e28,0x4040,0
MAIN.m_timer_StampSlidingCylinderStuck,Tc2_Standard.TON,0x290e44,0x4040,0
MAIN.m_xPPU,xPPU_Automatic,0x192e90,0x4040,0
MAIN.PreConditon,BOOL,0x192646,0x4040,0
MAIN.SFCCurrentStep,STRING(80),0x290ecc,0x4040,0
MAIN.SFCInit,BOOL,0x192647,0x4040,0
MAIN.SFCReset,BOOL,0x290c1b,0x4040,0
