Name,Type,Index Group,Index Offset,Comment
MAIN.m_container.m_SSC.m_PresencesensorEnd.DI_WPDetected,BOOL,61472,1452016,
MAIN.m_container.m_SSC.m_PresencesensorStart.DI_WPDetected,BOOL,61472,1452004,
MAIN.m_container.m_SSC.m_Ramp.m_presenceSensorRampFull.DI_WPDetected,BOOL,61472,1452056,
MAIN.m_container.m_SSC.m_Switch.DI_BoundaryPressure,BOOL,61472,1452071,NOT USED BUT USABLE
MAIN.m_container.m_SSC.m_Switch.DI_Extended,BOOL,61472,1452068,Hardware
MAIN.m_container.m_SSC.m_Switch.DI_Retracted,BOOL,61472,1452069,
MAIN.m_container.m_SSC.m_Switch.DO_Extend,BOOL,61488,1452070,
MAIN.m_container.m_SSC.Motor.AI_Position,UINT,61472,1451984,
MAIN.m_container.m_SSC.Motor.AI_Speed,UDINT,61472,1451988,
MAIN.m_container.m_SSC.Motor.DO_TurnClockwise,BOOL,61488,1451992,Hardware
MAIN.m_container.m_SSC.Motor.DO_TurnCounterclockwise,BOOL,61488,1451993,
MAIN.m_container.m_stack.m_Inductivesensor.DI_WPMetallic,BOOL,61472,1451512,Hardware
MAIN.m_container.m_stack.m_Opticalsensor.DI_WPLight,BOOL,61472,1451500,Hardware
MAIN.m_container.m_stack.m_Presencesensor.DI_WPDetected,BOOL,61472,1451488,
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,INT,61472,1451524,
MAIN.m_container.m_stack.o_slidingCylinder.AI_FlowPressure,INT,61472,1451476,
MAIN.m_container.m_stack.o_slidingCylinder.AI_PositionTransmitter,INT,61472,1451478,
MAIN.m_container.m_stack.o_slidingCylinder.AI_PressureSensor,INT,61472,1451474,
MAIN.m_container.m_stack.o_slidingCylinder.DI_BoundaryFlowPressure,BOOL,61472,1451472,
MAIN.m_container.m_stack.o_slidingCylinder.DI_BoundaryPressure,BOOL,61472,1451471,NOT USED BUT USABLE
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,BOOL,61472,1451468,Hardware
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,BOOL,61472,1451469,
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,BOOL,61488,1451470,
MAIN.m_container.m_stamp.m_presenceSensor.DI_WPDetected,BOOL,61472,1451592,
MAIN.m_container.m_stamp.m_pressureSensor.AI_CurrentPressure,INT,61472,1451604,Hardware
MAIN.m_container.m_stamp.m_pressureValve.AO_SetPressure,INT,61488,1451580,Hardware
MAIN.m_container.m_stamp.m_slidingCylinder.AI_FlowPressure,INT,61472,1451568,
MAIN.m_container.m_stamp.m_slidingCylinder.AI_PositionTransmitter,INT,61472,1451570,
MAIN.m_container.m_stamp.m_slidingCylinder.AI_PressureSensor,INT,61472,1451566,
MAIN.m_container.m_stamp.m_slidingCylinder.DI_BoundaryFlowPressure,BOOL,61472,1451564,
MAIN.m_container.m_stamp.m_slidingCylinder.DI_BoundaryPressure,BOOL,61472,1451563,NOT USED BUT USABLE
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,BOOL,61472,1451560,Hardware
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,BOOL,61472,1451561,
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,BOOL,61488,1451562,
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,BOOL,61488,1451572,Hardware
MAIN.m_container.m_stamp.m_stampingCylinder.AI_FlowPressure,INT,61472,1451548,
MAIN.m_container.m_stamp.m_stampingCylinder.AI_PositionTransmitter,INT,61472,1451550,
MAIN.m_container.m_stamp.m_stampingCylinder.AI_PressureSensor,INT,61472,1451546,
MAIN.m_container.m_stamp.m_stampingCylinder.DI_BoundaryFlowPressure,BOOL,61472,1451544,
MAIN.m_container.m_stamp.m_stampingCylinder.DI_BoundaryPressure,BOOL,61472,1451543,NOT USED BUT USABLE
MAIN.m_container.m_stamp.m_stampingCylinder.DI_Extended,BOOL,61472,1451540,Hardware
MAIN.m_container.m_stamp.m_stampingCylinder.DI_Retracted,BOOL,61472,1451541,
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,BOOL,61488,1451542,
MAIN.m_customSeqStatus,Resi4MPM.EOperationResult,16448,1584932,
MAIN.m_didFinishPrimitives,BOOL,16448,1584930,
MAIN.m_emptyParams,Resi4MPM.ParameterSet,16448,1584936,
MAIN.m_errorManager,xPPU.ErrorManager,16448,474416,
MAIN.m_services,Resi4MPM.ServiceContainer,16448,476192,
MAIN.m_startAuto,BOOL,16448,474389,"INTERLOCKS - must always be True
 ...
 MANUAL STRATEGY"
MAIN.m_startManual,BOOL,16448,474390,
MAIN.m_statesEnum,xPPU.EProcessVariables,16448,1584928,
MAIN.m_steps,ARRAY [0..2] OF STRING(80),16448,1606080,
MAIN.m_stopManual,BOOL,16448,474391,
MAIN.m_strategyState,Resi4MPM.EOperationResult,16448,1584924,
MAIN.m_xPPU,xPPU_Automatic,16448,1587056,
MAIN.SFCCurrentStep,STRING(80),16448,1606432,
MAIN.SFCInit,BOOL,16448,1584934,
MAIN.SFCReset,BOOL,16448,1584935,
