typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
SubmodelElementCollection,ACT_Init,,,,,,__mf04BHZEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_ProvideWP,,,,,,_KdX30BHaEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_AutomaticExecute,,,,,,_6iEJ4EgMEeavyPrpKniqtA,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_EmergencyStop,,,,,,_O_qMIEmREeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Enumeration_eWPType,,,,,,_NhpogBHXEeaE9dGXaplL2g,
Property,EnumerationLiteral_Black,,,,,,_NhpogRHXEeaE9dGXaplL2g,
Property,EnumerationLiteral_Metallic,,,,,,_NhpoghHXEeaE9dGXaplL2g,
Property,EnumerationLiteral_White,,,,,,_NhpogxHXEeaE9dGXaplL2g,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Enumeration_eWPWeight,,,,,,_7obokNyXEea2-snvt7IG-A,
Property,EnumerationLiteral_Light,,,,,,_-iJnsNyXEea2-snvt7IG-A,
Property,EnumerationLiteral_Medium,,,,,,_AS5zoNyYEea2-snvt7IG-A,
Property,EnumerationLiteral_Heavy,,,,,,_A9AgkNyYEea2-snvt7IG-A,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Class_OperationPanel,,,,,,_XPaiwBHhEeaIeI6F5gdpJg,
SubmodelElementCollection,Properties,,,,,,,
Property,EmergencyStop,,Boolean,,,,_K6zSoNi3EeaI3IcGROryBQ,
Property,StartButton,,Boolean,,,,_Q0d0sNi3EeaI3IcGROryBQ,
Property,ManuelMode,,Boolean,,,,_TMol8Ni3EeaI3IcGROryBQ,
Property,DI_Start,,,,,,_dRLbcBHiEeaIeI6F5gdpJg,
Property,DI_Manual,,,,,,_7hDTYBHiEeaIeI6F5gdpJg,
Property,DI_NotEmergencyStop,,,,,,__URtYBHiEeaIeI6F5gdpJg,
Property,DO_LampGreen,,,,,,_giB9oBHhEeaIeI6F5gdpJg,
Property,DO_LampWhite,,,,,,_YLZ0cBHiEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_StackTopanel,,,,,,,
Property,name,panel,,,,,,
Property,aggregation,composite,,,,,,
Property,type,Association,,,,,_JTiEcBHmEeaIeI6F5gdpJg,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_StackTopanel,_P1xSIBHVEeaen93uATCTQQ,,,,,,_XPaiwBHhEeaIeI6F5gdpJg
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Class_MonostableCylinder,,,,,,_EXgWsBHjEeaIeI6F5gdpJg,
SubmodelElementCollection,Properties,,,,,,,
Property,DI_Extended,,,,,,_O-UnkxHnEeaIeI6F5gdpJg,
Property,DI_Retracted,,,,,,_U-YFgxHnEeaIeI6F5gdpJg,
