xmi:type,name,xmi:id,description
StateMachine,LargeSortingConveyorACTCheckWPType,_Qv6yYGR4EeaP7aiWefDRgg,LargeSortingConveyor_ACT_CheckWPType
Transition,NOTWPTypeChecked,_DUNXAGR_EeaP7aiWefDRgg,[NOT WPTypeChecked]
Transition,TransitionFpsnsGREeaP7aiWefDRgg,_FpsnsGR_EeaP7aiWefDRgg,
Transition,optRamp1DIWPLight,_PBFN0GR_EeaP7aiWefDRgg,[optRamp1.DI_WPLight]
Transition,NOTindRamp1DIWPMetallicANDNOToptRamp1DIWPLight,_PnEPwGR_EeaP7aiWefDRgg,[NOT indRamp1.DI_WPMetallic AND NOT optRamp1.DI_WPLight]
Transition,optRamp1DIWPLightANDNOTindRamp1DIWPMetallic,_AQqRAGSAEeaP7aiWefDRgg,[optRamp1.DI_WPLight AND NOT indRamp1.DI_WPMetallic]
Transition,indRamp1DIWPMetallic,_BGd3oGSAEeaP7aiWefDRgg,[indRamp1.DI_WPMetallic]
Transition,WPTypeWhite,_vIeyoGSAEeaP7aiWefDRgg,[WPType=White]
Transition,WPTypeMetallic,_v6UfQGSAEeaP7aiWefDRgg,[WPType=Metallic]
Transition,WPTypeBlack,_w0g2oGSAEeaP7aiWefDRgg,[WPType=Black]
Transition,WPTypeChecked,_2FQ-kGSAEeaP7aiWefDRgg,[WPTypeChecked]
Pseudostate,Pseudostate3aunkGREeaP7aiWefDRgg,_3aunkGR-EeaP7aiWefDRgg,
Pseudostate,Pseudostate5bSKEGREeaP7aiWefDRgg,_5bSKEGR-EeaP7aiWefDRgg,
State,ResetWPType,_8d8CwGR-EeaP7aiWefDRgg,Reset_WPType
OpaqueBehavior,OpaqueBehaviorOfResetWPType,__zotANgeEeaLleG51tH3Eg,Reset(WPType)
State,WPIsBlack,_KQdXcGR_EeaP7aiWefDRgg,WP_Is_Black
OpaqueBehavior,OpaqueBehaviorOfWPIsBlack,_RkE5kGSAEeaP7aiWefDRgg,Set(WPType:=Black)
State,WPIsWhite,_646wQGR_EeaP7aiWefDRgg,WP_Is_White
OpaqueBehavior,OpaqueBehaviorOfWPIsWhite,_OXC84GSAEeaP7aiWefDRgg,Set(WPType:=White)
State,WPIsMetallic,_-EDPgGR_EeaP7aiWefDRgg,WP_Is_Metallic
OpaqueBehavior,OpaqueBehaviorOfWPIsMetallic,_P1jiQGSAEeaP7aiWefDRgg,Set(WPType:=Metallic)
State,WPTypeChecked,_YsVVsGSAEeaP7aiWefDRgg,WPTypeChecked
OpaqueBehavior,OpaqueBehaviorOfWPTypeChecked,_c72DEGSAEeaP7aiWefDRgg,Now(WPTypeChecked)
FinalState,FinalStatetoHzIGSAEeaP7aiWefDRgg,_toHzIGSAEeaP7aiWefDRgg,
StateMachine,LargeSortingConveyorACTSortWP,_a_xU0B9cEeafhr7g7VlqoQ,LargeSortingConveyor_ACT_SortWP
Transition,NOTWPSorted,_h1C0cB9lEeafhr7g7VlqoQ,[NOT WPSorted]
Transition,psBeginningDIWPDetected,_vY_hoB9lEeafhr7g7VlqoQ,[psBeginning.DI_WPDetected]
Transition,WPTypeChecked,_zupTQB9lEeafhr7g7VlqoQ,[WPTypeChecked]
Transition,TargetChanged,_1KBsIB9lEeafhr7g7VlqoQ,[TargetChanged]
Transition,CurrentTargetRamp1,_2j1-wB9lEeafhr7g7VlqoQ,[CurrentTarget=Ramp1]
Transition,CurrentTargetConveyor,_AzH2MB9mEeafhr7g7VlqoQ,[CurrentTarget=Conveyor]
Transition,CurrentTargetRamp2,_E2JmwB9mEeafhr7g7VlqoQ,[CurrentTarget=Ramp2]
Transition,CurrentTargetRamp3,_RT3rsB9mEeafhr7g7VlqoQ,[CurrentTarget=Ramp3]
Transition,aftert380ms,_XeFLMB9mEeafhr7g7VlqoQ,[after(t#380ms)]
Transition,seperator1Extended,_bwk7IB9mEeafhr7g7VlqoQ,[seperator1.Extended]
Transition,seperator1Retracted,_owpfMB9mEeafhr7g7VlqoQ,[seperator1.Retracted]
Transition,seperator2Extended,_0aRNsB9mEeafhr7g7VlqoQ,[seperator2.Extended]
Transition,seperator2Retracted,_A-wB8B9nEeafhr7g7VlqoQ,[seperator2.Retracted]
Transition,aftert4000ms,_C8EDMB9nEeafhr7g7VlqoQ,[after(t#4000ms)]
Transition,largeSortingConveyorswitchPicAlphaDIRetracted,_aQcvsB9nEeafhr7g7VlqoQ,[largeSortingConveyor.switchPicAlpha.DI_Retracted]
Transition,WPSorted,_0YFmsCAGEeaXg9UYHPN2UA,[WPSorted]
Transition,aftert50ms,_f4t7MDeOEea1lqu3DmCTIw,[after(t#50ms)]
Transition,motorStopped,_Aua_EDkSEea8uOUb4gQg2Q,[motor.Stopped]
Transition,aftert1900ms,_wA9F0N5dEeaOyq2maqsktw,[after(t#1900ms)]
Transition,afterT300ms,_M-bugO0UEeaas4YgnJyohg,[after(T#300ms)]
Transition,motorStopped,_Q7Ua0O0UEeaas4YgnJyohg,[motor.Stopped]
Transition,motorTruningClockwise,_dPC2QO0UEeaas4YgnJyohg,[motor.TruningClockwise]
Pseudostate,Pseudostate48auwB9cEeafhr7g7VlqoQ,_48auwB9cEeafhr7g7VlqoQ,
State,CheckingWPType,_ftYWoB9gEeafhr7g7VlqoQ,CheckingWPType
OpaqueBehavior,OpaqueBehaviorOfCheckingWPType,_bIDU4KdVEeaW3-nj19_RIA,ACT_CheckWPType()
State,TurnOnLargeSortingConveyor,_HNY9MB9hEeafhr7g7VlqoQ,TurnOnLargeSortingConveyor
OpaqueBehavior,OpaqueBehaviorOfTurnOnLargeSortingConveyor,_Zk9KYB9hEeafhr7g7VlqoQ,motor.ACT_TurnForwards()
OpaqueBehavior,OpaqueBehaviorOfTurnOnLargeSortingConveyor,_YVQ74Le2EeaN5KNu953fkQ,WpType:=NULL
State,ChangingTarget,_pC44AB9hEeafhr7g7VlqoQ,ChangingTarget
OpaqueBehavior,OpaqueBehaviorOfChangingTarget,_kT0g4KdVEeaW3-nj19_RIA,ACT_ChangeTarget()
Pseudostate,PseudostatezHo6cB9hEeafhr7g7VlqoQ,_zHo6cB9hEeafhr7g7VlqoQ,
State,TrasportingToRamp3,_0_gbAB9hEeafhr7g7VlqoQ,TrasportingToRamp3
State,TransportingToRamp1,_igMxoB9iEeafhr7g7VlqoQ,TransportingToRamp1
State,TransportingToRamp2,_lyFZIB9iEeafhr7g7VlqoQ,TransportingToRamp2
State,Pusher2Extending,_6zMbcB9iEeafhr7g7VlqoQ,Pusher2_Extending
OpaqueBehavior,OpaqueBehaviorOfPusher2Extending,_J0wWIB9jEeafhr7g7VlqoQ,seperator2.ACT_Extend()
State,Pusher1Extending,_M4X4IB9jEeafhr7g7VlqoQ,Pusher1_Extending
OpaqueBehavior,OpaqueBehaviorOfPusher1Extending,_ShF0IB9jEeafhr7g7VlqoQ,seperator1.ACT_Extend()
State,Seperator2Retracting,_yG3vEB9jEeafhr7g7VlqoQ,Seperator2Retracting
OpaqueBehavior,OpaqueBehaviorOfSeperator2Retracting,_NRTgEB9kEeafhr7g7VlqoQ,seperator2.ACT_Retract()
State,Seperator1Retracting,_ytktQB9kEeafhr7g7VlqoQ,Seperator1Retracting
