typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
ReferenceElement,Stack_EmergencyStopTo,_mxLR0EmXEeaPbYa44WUTPg,,,,,_sBaKcEmZEeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Crane_EmergencyStopTo,,,,,,_ttrfAEmZEeaPbYa44WUTPg,
ReferenceElement,Crane_EmergencyStopTo,_pTCKkEmXEeaPbYa44WUTPg,,,,,_ttrfAEmZEeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_LargeSortingConveyor_EmergencyStopTo,,,,,,_wKp3wEmZEeaPbYa44WUTPg,
ReferenceElement,LargeSortingConveyor_EmergencyStopTo,_rUGDYEmXEeaPbYa44WUTPg,,,,,_wKp3wEmZEeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Stamp_EmergencyStopTo,,,,,,_zHKFIEmZEeaPbYa44WUTPg,
ReferenceElement,Stamp_EmergencyStopTo,__Jv_MEmXEeaPbYa44WUTPg,,,,,_zHKFIEmZEeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Emergency_HandledToFinalState,,,,,,_16RtAEmZEeaPbYa44WUTPg,
RelationshipElement,Emergency_HandledToFinalState,_AxufYGWAEeab9L8V4_TyWg,,,,,_16RtAEmZEeaPbYa44WUTPg,_99C7ICcfEea2HoRD4bUt5w
Property,EmergencyHandled,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateToStack_EmergencyStop,,,,,,_8Ja3gGV_Eeab9L8V4_TyWg,
RelationshipElement,PseudostateToStack_EmergencyStop,_iAX04CcfEea2HoRD4bUt5w,,,,,_8Ja3gGV_Eeab9L8V4_TyWg,_mxLR0EmXEeaPbYa44WUTPg
Property,NOTEmergencyHandled,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Stack_EmergencyStopToCrane_EmergencyStop,,,,,,_arFLMNgMEeaLleG51tH3Eg,
RelationshipElement,Stack_EmergencyStopToCrane_EmergencyStop,_mxLR0EmXEeaPbYa44WUTPg,,,,,_arFLMNgMEeaLleG51tH3Eg,_pTCKkEmXEeaPbYa44WUTPg
Property,stackEmergencyHandled,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Crane_EmergencyStopToLargeSortingConveyor_EmergencyStop,,,,,,_d23xwNgMEeaLleG51tH3Eg,
RelationshipElement,Crane_EmergencyStopToLargeSortingConveyor_EmergencyStop,_pTCKkEmXEeaPbYa44WUTPg,,,,,_d23xwNgMEeaLleG51tH3Eg,_rUGDYEmXEeaPbYa44WUTPg
Property,craneEmergencyHandled,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_LargeSortingConveyor_EmergencyStopToStamp_EmergencyStop,,,,,,_pu7k4NgMEeaLleG51tH3Eg,
RelationshipElement,LargeSortingConveyor_EmergencyStopToStamp_EmergencyStop,_rUGDYEmXEeaPbYa44WUTPg,,,,,_pu7k4NgMEeaLleG51tH3Eg,__Jv_MEmXEeaPbYa44WUTPg
Property,largeSortingConveyorEmergencyHandled,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Stamp_EmergencyStopToEmergency_Handled,,,,,,_yzlcQNgMEeaLleG51tH3Eg,
RelationshipElement,Stamp_EmergencyStopToEmergency_Handled,__Jv_MEmXEeaPbYa44WUTPg,,,,,_yzlcQNgMEeaLleG51tH3Eg,_AxufYGWAEeab9L8V4_TyWg
Property,stampEmergencyHandled,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Pseudostate,,,,,,_iAX04CcfEea2HoRD4bUt5w,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,FinalState,,,,,,_99C7ICcfEea2HoRD4bUt5w,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_Stack_EmergencyStop,,,,,,_mxLR0EmXEeaPbYa44WUTPg,
SubmodelElementCollection,doActivities,,,,,,,
Property,stackACT_EmergencyStop,,,,,,_JU7CELcaEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_JU7CELcaEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_Crane_EmergencyStop,,,,,,_pTCKkEmXEeaPbYa44WUTPg,
SubmodelElementCollection,doActivities,,,,,,,
Property,craneACT_EmergencyStop,,,,,,_LwcCQLcaEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_LwcCQLcaEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_LargeSortingConveyor_EmergencyStop,,,,,,_rUGDYEmXEeaPbYa44WUTPg,
SubmodelElementCollection,doActivities,,,,,,,
Property,largeSortingConveyorACT_EmergencyStop,,,,,,_NcMZcLcaEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_NcMZcLcaEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_Stamp_EmergencyStop,,,,,,__Jv_MEmXEeaPbYa44WUTPg,
SubmodelElementCollection,doActivities,,,,,,,
Property,stampACT_EmergencyStop,,,,,,_PATQgLcaEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_PATQgLcaEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_Emergency_Handled,,,,,,_AxufYGWAEeab9L8V4_TyWg,
SubmodelElementCollection,doActivities,,,,,,,
Property,NowEmergencyHandled,,,,,,_Gnpw8GWAEeab9L8V4_TyWg,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_Gnpw8GWAEeab9L8V4_TyWg,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,StateDiagram_PPU_StateMachine,,,,,,_CmulYLcSEeaSbZaN2J4zjw,
SubmodelElementCollection,Transition_PseudostateToStart,,,,,,_FsOhQLcTEeaSbZaN2J4zjw,
RelationshipElement,PseudostateToStart,_oaxZYLcSEeaSbZaN2J4zjw,,,,,_FsOhQLcTEeaSbZaN2J4zjw,_pLcoYLcSEeaSbZaN2J4zjw
Property,true,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_StartToInitialisation,,,,,,_QzxdcLcTEeaSbZaN2J4zjw,
RelationshipElement,StartToInitialisation,_pLcoYLcSEeaSbZaN2J4zjw,,,,,_QzxdcLcTEeaSbZaN2J4zjw,_rNpwsLcSEeaSbZaN2J4zjw
Property,StartButton,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_InitialisationToPseudostate,,,,,,_-g-mELcTEeaSbZaN2J4zjw,
RelationshipElement,InitialisationToPseudostate,_rNpwsLcSEeaSbZaN2J4zjw,,,,,_-g-mELcTEeaSbZaN2J4zjw,_83rtALcTEeaSbZaN2J4zjw
Property,true,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateToAutomaticExecute,,,,,,__3UG4LcTEeaSbZaN2J4zjw,
RelationshipElement,PseudostateToAutomaticExecute,_83rtALcTEeaSbZaN2J4zjw,,,,,__3UG4LcTEeaSbZaN2J4zjw,_tf5gILcSEeaSbZaN2J4zjw
Property,InitCompleted,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_AutomaticExecuteToPseudostate,,,,,,_rL4HsLcVEeaSbZaN2J4zjw,
RelationshipElement,AutomaticExecuteToPseudostate,_tf5gILcSEeaSbZaN2J4zjw,,,,,_rL4HsLcVEeaSbZaN2J4zjw,_prR3oLcVEeaSbZaN2J4zjw
Property,true,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateToEmergency_Stop,,,,,,_sem64LcVEeaSbZaN2J4zjw,
RelationshipElement,PseudostateToEmergency_Stop,_prR3oLcVEeaSbZaN2J4zjw,,,,,_sem64LcVEeaSbZaN2J4zjw,_vzNmkLcSEeaSbZaN2J4zjw
Property,EmergencyStop,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Emergency_StopToReadyToInitialiseAgain,,,,,,_y5T4ALcWEeaSbZaN2J4zjw,
RelationshipElement,Emergency_StopToReadyToInitialiseAgain,_vzNmkLcSEeaSbZaN2J4zjw,,,,,_y5T4ALcWEeaSbZaN2J4zjw,_zHxuoLcSEeaSbZaN2J4zjw
Property,EmergencyHandled,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_ReadyToInitialiseAgainToStart,,,,,,_RWkrsLcXEeaSbZaN2J4zjw,
RelationshipElement,ReadyToInitialiseAgainToStart,_zHxuoLcSEeaSbZaN2J4zjw,,,,,_RWkrsLcXEeaSbZaN2J4zjw,_pLcoYLcSEeaSbZaN2J4zjw
Property,NOTEmergencyStop,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateToStart,,,,,,_j8wjsLcXEeaSbZaN2J4zjw,
RelationshipElement,PseudostateToStart,_prR3oLcVEeaSbZaN2J4zjw,,,,,_j8wjsLcXEeaSbZaN2J4zjw,_pLcoYLcSEeaSbZaN2J4zjw
Property,StartButton,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateToEmergency_Stop,,,,,,_x2tWELcXEeaSbZaN2J4zjw,
RelationshipElement,PseudostateToEmergency_Stop,_83rtALcTEeaSbZaN2J4zjw,,,,,_x2tWELcXEeaSbZaN2J4zjw,_vzNmkLcSEeaSbZaN2J4zjw
Property,EmergencyStop,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Pseudostate,,,,,,_oaxZYLcSEeaSbZaN2J4zjw,
